            Size |          Classic |         Winograd |       Imprv Wino
       100 x 100 |        28707.879 |        31267.021 |        27890.154
       200 x 200 |       120212.318 |        71873.169 |        25862.834
       300 x 300 |       344997.501 |       326325.692 |        87762.477
       400 x 400 |       525674.035 |       399200.129 |       220527.923
       500 x 500 |       993910.348 |      1077512.176 |       499460.745
       600 x 600 |      1486276.123 |      1562590.457 |       834358.602
       700 x 700 |      2371208.512 |      2769162.039 |      1445761.146
       800 x 800 |      3692903.389 |      4566275.753 |      2476615.177
       900 x 900 |      5283312.831 |      7101273.245 |       3501048.57
     1000 x 1000 |      6907298.249 |     10707602.063 |       4325263.82
