            Size |          Classic |         Winograd |       Imprv Wino
       100 x 100 |        30989.979 |        39710.637 |        34193.012
       200 x 200 |       111117.069 |        69089.500 |        26121.298
       300 x 300 |       340311.277 |       265996.563 |       131104.237
       400 x 400 |       568118.202 |       398179.602 |       215498.047
       500 x 500 |      1040054.252 |      1075011.353 |       518425.500
       600 x 600 |      1641148.105 |      1616419.501 |       893723.728
       700 x 700 |      2646816.194 |      2749300.231 |      1493193.743
       800 x 800 |      3918635.483 |      5027383.768 |      3068440.964
       900 x 900 |      5643054.821 |      6844922.306 |      3468014.962
     1000 x 1000 |      8069705.490 |      9817478.886 |      4070028.345
